brand,category-1,category-2,category-3,co2_total,colour,fabric_type,ftp_acrylic,ftp_cotton,ftp_elastane,ftp_linen,ftp_other,ftp_polyamide,ftp_polyester,ftp_polypropylene,ftp_silk,ftp_viscose,ftp_wool,gender,label,made_in,season,size,unspsc_code,weight
b101,womenswear,headgear,flat-cap,4.9,light brown,K,,12.0,6.0,1.0,6.0,3.0,7.0,,61.0,,,W,,TR,,S,,0.122
b131,clothing,accessory,backpack,26.92,unbleached,K,,9.0,6.0,,,8.0,6.0,,,,69.0,W,,CN,,M,,
b76,baby,thermals,trousers,34.06,purple,K,,,10.0,,,1.0,6.0,3.0,69.0,,6.0,,,US,AYR,M,,
b86,menswear,swimwear,swimsuit,3.92,natural,K,,,,31.0,,15.0,45.0,8.0,,,,M,,HK,,XS,,
b131,kidswear,thermals,trousers,38.77,green,K,8.0,2.0,14.0,,14.0,,36.0,14.0,3.0,6.0,,B,,ES,MID,XXL,,
b16,kidswear,nightwear,pyjama,9.46,light brown,K,,4.0,,,4.0,9.0,73.0,6.0,,,,G,,DE,,XXL,,0.276
b66,baby,thermals,trousers,16.79,violet,W,,45.0,14.0,3.0,7.0,4.0,13.0,,6.0,3.0,,,,CN,WIN,XL,,0.679
b131,menswear,outerwear,jacket,27.26,wheat,K,,9.0,,8.0,,9.0,18.0,,16.0,3.0,33.0,M,,CN,,S,,0.8079999999999999
b89,menswear,costume,trousers,16.41,neon,W,8.0,,12.0,57.0,6.0,,10.0,,,,5.0,M,,CN,AYR,S,,
b17,baby,thermals,trousers,21.55,blue gray,K,,,,11.0,10.0,,47.0,4.0,,14.0,11.0,,,KR,MID,XXL,,
b89,baby,footwear,socks,0.81,gold,K,23.0,9.0,,31.0,,7.0,,28.0,,,,,,CN,,XXL,,0.033
b142,kidswear,accessory,backpack,23.87,dark green,W,,1.0,2.0,1.0,,1.0,1.0,,92.0,,,G,,CN,,L,,0.884
