brand,category-1,category-2,category-3,co2_total,colour,fabric_type,ftp_acrylic,ftp_cotton,ftp_elastane,ftp_linen,ftp_other,ftp_polyamide,ftp_polyester,ftp_polypropylene,ftp_silk,ftp_viscose,ftp_wool,gender,label,made_in,season,size,unspsc_code,weight
,menswear,clothing,trousers,22.28812171,,,,,,,,,,,,,,,,,,,,
,womenswear,dress,dress,11.07934286,,,,,,,,,,,,,,,,,,,,
,clothing,sportswear,hoodie,12.97041293,,,,,,,,,,,,,,,,,,,,
,menswear,clothing,T-shirt,5.705409684,,,,,,,,,,,,,,,,,,,,
,menswear,clothing,knitwear,16.94858377,,,,,,,,,,,,,,,,,,,,
,menswear,clothing,shirt,3.681375512,,,,,,,,,,,,,,,,,,,,
,womenswear,sportswear,pants,9.303890483,,,,,,,,,,,,,,,,,,,,
,womenswear,dress,fancy-dress,4.520658755,,,,,,,,,,,,,,,,,,,,
,menswear,undergarments,underpants,2.188867996,,,,,,,,,,,,,,,,,,,,
,womenswear,clothing,knitwear,12.82315257,,,,,,,,,,,,,,,,,,,,
,womenswear,outerwear,jacket,19.56687747,,,,,,,,,,,,,,,,,,,,
