brand,category-1,category-2,category-3,co2_total,colour,fabric_type,ftp_acrylic,ftp_cotton,ftp_elastane,ftp_linen,ftp_other,ftp_polyamide,ftp_polyester,ftp_polypropylene,ftp_silk,ftp_viscose,ftp_wool,gender,label,made_in,season,size,unspsc_code,weight
b143,,clothing,trousers,22.28812171,,W,,,,,,,,,,,,M,,KH,AYR,L,,0.61
,womenswear,,dress,11.07934286,brown,W,0,0,0,0,0,0,0,0,0,1,0,,,CN,AYR,M,,
b106,clothing,sportswear,,12.97041293,brown,W,0,0.6,0,0,0,0,0.4,0,0,0,0,,,,,L,,0.4
b19,menswear,clothing,T-shirt,5.705409684,,W,0,1,0,0,0,0,0,0,0,0,0,M,,TR,AYR,,,0.16
b56,,clothing,knitwear,16.94858377,brown,K,,,,,,,,,,,,M,,,,XL,,0.26
,menswear,,shirt,3.681375512,brown,K,0,0,0,0.1,0,0,0,0,0.9,0,0,,,CN,AYR,M,,
b137,womenswear,sportswear,,9.303890483,brown,,0,0,0.02,0,0,0,0.98,0,0,0,0,,,CN,,,,0.34
b135,womenswear,dress,fancy-dress,4.520658755,,,,,,,,,,,,,,W,,FI,AYR,L,,
,,undergarments,underpants,2.188867996,brown,,0,0.95,0.02,0,0,0,0.03,0,0,0,0,M,,CN,AYR,L,,
b94,womenswear,,knitwear,12.82315257,brown,,0,0,0,0,0,0,0.5,0,0,0.5,0,,,BD,,M,,0.38
b133,womenswear,outerwear,,19.56687747,brown,,0,0,0,0,0,0,1,0,0,0,0,W,,,MID,M,,
